Percentage of Edges,Number of Vertices,Number of Tested Solutions,Execution Time,Cardinality of the Set
25,75,5000,9.245126008987427,8
25,76,5000,13.324883937835693,9
25,77,5000,7.300726890563965,8
25,78,5000,13.471482515335083,8
25,79,5000,13.147873401641846,7
25,80,5000,14.168092966079712,8
25,81,5000,7.570021629333496,8
25,82,5000,11.813225984573364,7
25,83,5000,9.37520956993103,8
25,84,5000,13.16011381149292,8
25,85,5000,7.044126987457275,9
25,86,5000,11.156585454940796,8
25,87,5000,6.810253143310547,8
25,88,5000,7.044790983200073,8
25,89,5000,7.4752514362335205,8
25,90,5000,17.20499086380005,7
25,91,5000,12.839720964431763,7
25,92,5000,13.969651937484741,7
25,93,5000,5.603705644607544,9
25,94,5000,19.63334584236145,8
25,95,5000,9.239309310913086,7
25,96,5000,12.318153142929077,8
25,97,5000,12.214582681655884,8
25,98,5000,12.780438899993896,8
25,99,5000,14.780274868011475,7
25,100,5000,9.599767923355103,8
50,75,5000,5.759942531585693,6
50,76,5000,8.051931142807007,5
50,77,4999,8.251330137252808,5
50,78,5000,9.094908475875854,5
50,79,5000,7.3841001987457275,5
50,80,5000,11.898791790008545,5
50,81,5000,7.366042375564575,5
50,82,5000,6.305832386016846,5
50,83,5000,5.470149278640747,5
50,84,4999,12.094933986663818,5
50,85,5000,7.860336780548096,5
50,86,5000,7.919169187545776,6
50,87,5000,9.632867813110352,5
50,88,5000,6.184494972229004,5
50,89,5000,8.09276270866394,5
50,90,5000,7.475016355514526,5
50,91,5000,11.771533966064453,5
50,92,5000,10.895421266555786,6
50,93,5000,10.234965562820435,5
50,94,5000,6.322460651397705,5
50,95,5000,6.726340055465698,5
50,96,5000,9.52783465385437,5
50,97,5000,9.014156103134155,5
50,98,5000,8.741688966751099,4
50,99,5000,9.744264841079712,5
50,100,5000,7.478633403778076,5
75,75,4999,5.992908954620361,4
75,76,5000,4.683502912521362,4
75,77,4988,6.7449328899383545,3
75,78,4996,5.187271595001221,4
75,79,5000,8.722710609436035,4
75,80,5000,9.21959114074707,4
75,81,5000,6.479849338531494,4
75,82,4994,6.390423774719238,3
75,83,4992,4.521763324737549,4
75,84,5000,7.85343337059021,4
75,85,4996,6.5048956871032715,3
75,86,4995,6.4397125244140625,3
75,87,4994,6.394773483276367,3
75,88,4999,5.038016080856323,4
75,89,5000,4.802046537399292,4
75,90,4994,7.251101732254028,3
75,91,5000,6.295163154602051,3
75,92,5000,3.719796895980835,4
75,93,4999,4.005263566970825,4
75,94,4998,6.464946985244751,3
75,95,4995,6.4299962520599365,3
75,96,4998,4.149679183959961,4
75,97,5000,7.500340223312378,4
75,98,5000,7.004847764968872,4
75,99,5000,6.62984299659729,4
75,100,4998,6.890034914016724,3
